	net_name	dataset_name	train_or_test	loss	accuracy	precision	recall	fmeasure
49	MobileNet	03_France_ByMeaning_224_3dim	test	2.0268448943441566	0.6619318181818182	0.6764155748215589	0.6363636363636364	0.6550834951075639
50	SqueezeNet	03_France_ByMeaning_128_3dim	train	9.677050633572481	0.3996157623085501	0.3996157623085501	0.3996157623085501	0.3996157146324685
51	SqueezeNet	03_France_ByMeaning_128_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
52	SqueezeNet	03_France_ByMeaning_128_3dim	train	0.14909021755749366	0.9487672044304828	0.955562666044226	0.9455651549280664	0.9502820700664684
53	SqueezeNet	03_France_ByMeaning_128_3dim	test	1.1961453746665611	0.7045454545454546	0.717616390098225	0.6761363636363636	0.6957001713189211
54	SqueezeNet	03_France_ByMeaning_160_3dim	train	0.07933595243744955	0.9756644205752376	0.9768029273109792	0.9743836007360996	0.9755295842952773
55	SqueezeNet	03_France_ByMeaning_160_3dim	test	1.4694679243998094	0.7755681818181818	0.789308407089927	0.7698863636363636	0.7793749028986151
56	SqueezeNet	03_France_ByMeaning_192_3dim	train	9.677050625632829	0.3996157616644077	0.3996157616644077	0.3996157616644077	0.3996157153481824
57	SqueezeNet	03_France_ByMeaning_192_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
58	SqueezeNet	03_France_ByMeaning_192_3dim	train	9.673291151240358	0.3996157613733507	0.3996157613733507	0.3996157613733507	0.3996157153290966
59	SqueezeNet	03_France_ByMeaning_192_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
60	SqueezeNet	03_France_ByMeaning_224_3dim	train	14.519811974097015	0.09894332579798397	0.09894332579798397	0.09894332579798397	0.09894329969828762
61	SqueezeNet	03_France_ByMeaning_224_3dim	test	14.515443899414755	0.09943181818181818	0.09943181818181818	0.09943181818181818	0.09943181344053964
62	SqueezeNet	03_France_ByMeaning_224_3dim	train	9.677050628228482	0.3996157617359791	0.3996157617359791	0.3996157617359791	0.39961571506666826
63	SqueezeNet	03_France_ByMeaning_224_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
64	Xception	03_France_ByMeaning_128_3dim	train	1.3806856150166025	0.7150176135853549	0.7876558512726007	0.6356067933640799	0.6997359765289763
65	Xception	03_France_ByMeaning_128_3dim	test	1.1845412985845043	0.6420454545454546	0.7032451284202662	0.5596590909090909	0.6214852441440929
66	Xception	03_France_ByMeaning_160_3dim	train	1.3512494090015297	0.7191802751758409	0.7913064420929407	0.6362472023770781	0.7012511851350123
67	Xception	03_France_ByMeaning_160_3dim	test	1.355804891748862	0.6619318181818182	0.7417111396789551	0.6136363636363636	0.667719613422047
68	Xception	03_France_ByMeaning_160_3dim	train	1.4823027980125298	0.5904578971836073	0.7630966408413801	0.4370797377651103	0.5265446716762681
69	Xception	03_France_ByMeaning_160_3dim	test	1.895094684579156	0.5539772727272727	0.610902532257817	0.4005681818181818	0.4784910509532148
70	Xception	03_France_ByMeaning_192_3dim	train	1.227815994535392	0.7191802765595543	0.7874118847569097	0.646813964733053	0.7039870599256736
71	Xception	03_France_ByMeaning_192_3dim	test	1.138244171034206	0.6960227272727273	0.7317717522382736	0.625	0.6712156750939109
72	Xception	03_France_ByMeaning_224_3dim	train	1.406277475737243	0.5763688829610869	0.8344654883095518	0.44828691080408223	0.5370686186493645
73	Xception	03_France_ByMeaning_224_3dim	test	2.068989033048803	0.5852272727272727	0.6741551391103051	0.3977272727272727	0.4938817748969251
74	VGG16	03_France_ByMeaning_128_3dim	train	14.404612538450394	0.10630803927659913	0.10630803927659913	0.10630803927659913	0.10630801155461816
75	VGG16	03_France_ByMeaning_128_3dim	test	14.515443899414755	0.09943181818181818	0.09943181818181818	0.09943181818181818	0.09943181344053964
76	VGG16	03_France_ByMeaning_128_3dim	train	10.074454840276244	0.3749599814834864	0.3749599814834864	0.3749599814834864	0.3749599357159749
77	VGG16	03_France_ByMeaning_128_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
78	VGG16	03_France_ByMeaning_160_3dim	train	9.67705062135763	0.3996157617836933	0.3996157617836933	0.3996157617836933	0.3996157152527538
79	VGG16	03_France_ByMeaning_160_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
80	VGG16	03_France_ByMeaning_192_3dim	train	9.769950335200614	0.39385207186343	0.39385207186343	0.39385207186343	0.3938520257619189
81	VGG16	03_France_ByMeaning_192_3dim	test	9.753279350020673	0.3948863636363637	0.3948863636363637	0.3948863636363637	0.3948863527991555
